channel,mean,rms,meanerr,rmserr,tv
1687,622.465,11.7845,0.175598,0.173499,10389
1686,685.528,12.1291,0.152525,0.173743,10389
1685,639.871,15.379,0.245565,0.240158,10389
1684,477.402,10.55,0.152984,0.111952,10389
1596,459.274,9.24588,0.135826,0.200358,10389
1683,448.757,12.0931,0.222613,0.204125,10389
1597,460.028,12.0832,0.18465,0.242181,10389
1682,383.256,11.9998,0.157888,0.200322,10389
1598,394.252,9.3569,0.131188,0.191508,10389
1681,402.364,13.5231,0.139691,0.219194,10389
1599,396.734,9.07921,0.126238,0.190899,10389
1680,351.519,11.9122,0.158833,0.175531,10389
1600,428.252,10.3799,0.126957,0.187008,10389
1823,485.554,15.6057,0.167015,0.200242,10389
1601,491.391,10.6508,0.144829,0.161055,10389
1822,552.005,15.7716,0.185507,0.229109,10389
1602,617.513,9.11712,0.207611,0.160972,10389
1821,633.916,15.1385,0.266707,0.208996,10389
1594,605.005,9.09064,0.119028,0.164003,10389
1921,593.66,14.9916,0.206229,0.192431,10389
1920,531.07,26.3158,0.301312,0.341521,10389
1919,507.986,14.5809,0.17614,0.176449,10389
1918,504.802,14.7088,0.318262,0.163844,10389
1917,439.67,12.6325,0.144332,0.155195,10389
1916,430.123,11.6264,0.216191,0.156909,10389
1915,482.253,11.9246,0.16383,0.119715,10389
1914,498.926,10.7009,0.139773,0.147685,10389
1913,455.628,8.13644,0.153298,0.15533,10389
1912,484.553,10.1029,0.147372,0.130494,10389
1911,512.793,8.17022,0.197521,0.140741,10389
1910,562.075,7.73328,0.24351,0.102479,10389
1909,596.44,7.35653,0.243301,0.110225,10389
1908,702.875,8.98307,0.22208,0.147122,10389
1586,622.685,14.5929,0.183207,0.192323,10389
1603,573.468,18.8825,0.219173,0.240795,10389
1935,578.732,14.1903,0.201608,0.196175,10389
1934,689.781,14.9401,0.260913,0.188262,10389
1933,505.514,14.8514,0.223438,0.173896,10389
1932,478.017,27.4934,0.36783,0.413047,10389
1931,499.581,14.6489,0.247823,0.229979,10389
1930,447.88,32.7106,0.477758,0.42965,10389
1929,539.982,11.7803,0.160229,0.138443,10389
